date,entry,exit,qty,direction,pnl,capital
2018-10-05 13:40:00,10413.65,10424.06365,65,-1,-716.887250000027,539637.6120000004
2018-10-05 14:00:00,10416.85,10427.26685,65,-1,-717.0952499999748,538920.5167500004
2018-10-05 14:25:00,10436.95,10447.38695,65,-1,-718.4017499999572,538202.1150000005
2018-10-08 09:50:00,10271.6,10281.8716,130,-1,-1375.3080000000045,536826.8070000005
2018-10-08 10:05:00,10306.15,10316.45615,130,-1,-1379.7995000000446,535447.0075000004
2018-10-08 10:45:00,10309.85,10320.15985,65,-1,-710.1402499999767,534736.8672500005
2018-10-08 14:20:00,10290.0,10233.405,65,-1,3638.6749999999574,538375.5422500004
2018-10-08 14:30:00,10204.7,10214.904700000001,130,-1,-1366.61100000003,537008.9312500004
2018-10-08 14:45:00,10210.15,10220.36015,130,-1,-1367.3195000001033,535641.6117500003
2018-10-09 10:05:00,10330.95,10341.28095,65,-1,-711.5117499999724,534930.1000000003
2018-10-09 14:25:00,10343.55,10353.893549999999,65,-1,-712.3307499999737,534217.7692500004
2018-10-09 14:40:00,10359.35,10369.709350000001,65,-1,-713.357750000041,533504.4115000003
2018-10-09 14:50:00,10371.35,10381.72135,65,-1,-714.1377499999635,532790.2737500003
2018-10-10 09:15:00,10299.65,10309.94965,65,-1,-709.4772500000545,532080.7965000002
2018-10-10 13:25:00,10397.7,10454.88735,65,1,3677.17775000001,535757.9742500002
2018-10-10 13:45:00,10464.55,10454.085449999999,65,1,-720.195750000039,535037.7785000001
2018-10-11 09:15:00,10457.0,10446.543,65,1,-719.7050000000218,534318.0735
2018-10-11 09:30:00,10193.2,10183.006800000001,130,1,-1365.1159999999618,532952.9575000001
2018-10-11 11:55:00,10190.8,10246.8494,130,1,7246.421999999984,540199.3795000002
2018-10-12 10:35:00,10438.35,10427.91165,65,1,-718.4927500000231,539480.8867500002
2018-10-12 13:25:00,10425.85,10483.192175,65,1,3687.241374999985,543168.1281250002
2018-10-12 13:35:00,10483.45,10472.966550000001,65,1,-721.4242499999818,542446.7038750001
2018-10-12 13:50:00,10474.8,10464.3252,65,1,-720.8619999999974,541725.8418750002
2018-10-12 14:40:00,10466.75,10456.28325,65,1,-720.3387499999735,541005.5031250002
2018-10-15 09:45:00,10454.15,10443.69585,65,1,-719.5197499999722,540285.9833750002
2018-10-16 12:30:00,10553.9,10543.346099999999,65,1,-726.0035000000516,539559.9798750001
2018-10-17 09:15:00,10568.5,10626.62675,65,1,3738.238749999964,543298.2186250001
2018-10-19 09:15:00,10495.2,10437.476400000001,65,-1,3712.033999999958,547010.2526250001
2018-10-19 09:50:00,10317.0,10327.317,130,-1,-1381.2099999998827,545629.0426250002
2018-10-19 11:35:00,10334.0,10344.334,130,-1,-1383.4200000000965,544245.6226250002
2018-10-19 13:35:00,10337.8,10280.942099999998,130,-1,7351.527000000115,551597.1496250003
2018-10-19 14:25:00,10271.2,10281.4712,130,-1,-1375.2559999998994,550221.8936250004
2018-10-22 09:15:00,10312.35,10322.66235,130,-1,-1380.6055000000197,548841.2881250003
2018-10-22 12:15:00,10347.55,10357.89755,130,-1,-1385.1815000000533,547456.1066250002
2018-10-22 14:45:00,10351.35,10294.417575,130,-1,7361.215250000114,554817.3218750004
2018-10-23 09:15:00,10285.0,10228.4325,130,-1,7313.774999999896,562131.0968750003
2018-10-23 14:40:00,10143.2,10153.343200000001,130,-1,-1358.6160000000564,560772.4808750002
2018-10-23 15:10:00,10136.15,10146.28615,130,-1,-1357.6995000000352,559414.7813750003
2018-10-24 10:35:00,10242.3,10185.967349999999,130,-1,7283.244500000037,566698.0258750003
2018-10-24 11:55:00,10184.3,10194.4843,130,-1,-1363.9590000001044,565334.0668750001
2018-10-24 13:20:00,10204.05,10214.25405,130,-1,-1366.5265000000363,563967.5403750001
2018-10-24 14:00:00,10214.05,10157.872725,130,-1,7263.045750000001,571230.5861250001
2018-10-24 14:40:00,10146.95,10157.096950000001,130,-1,-1359.1035000000375,569871.4826250001
2018-10-24 14:50:00,10174.05,10184.224049999999,130,-1,-1362.6264999999512,568508.8561250002
2018-10-24 15:05:00,10203.55,10213.75355,130,-1,-1366.461500000023,567142.3946250002
2018-10-24 15:20:00,10230.45,10240.68045,130,-1,-1369.9584999998842,565772.4361250004
2018-10-25 09:15:00,10239.9,10183.580549999999,130,-1,7281.528500000113,573053.9646250005
2018-10-25 13:00:00,10129.7,10139.8297,130,-1,-1356.8609999999353,571697.1036250006
2018-10-25 13:15:00,10134.65,10144.78465,130,-1,-1357.5044999999955,570339.5991250005
2018-10-25 13:50:00,10131.8,10141.931799999998,130,-1,-1357.1339999998963,568982.4651250007
2018-10-25 14:15:00,10133.25,10143.38325,130,-1,-1357.3225000001003,567625.1426250006
2018-10-25 15:15:00,10114.2,10124.3142,130,-1,-1354.8459999999977,566270.2966250005
2018-10-26 10:10:00,10041.4,10051.4414,130,-1,-1345.3820000000087,564924.9146250006
2018-10-26 10:30:00,10062.3,10072.362299999999,130,-1,-1348.0989999999474,563576.8156250006
2018-10-26 12:15:00,10096.9,10106.9969,130,-1,-1352.5970000000598,562224.2186250006
2018-10-26 14:10:00,10113.4,10057.7763,130,-1,7191.081000000013,569415.2996250006
2018-10-26 14:35:00,10047.45,10057.49745,130,-1,-1346.1685000000034,568069.1311250005
2018-10-29 09:30:00,10059.65,10069.709649999999,130,-1,-1347.7544999999009,566721.3766250006
2018-10-29 10:05:00,10074.15,10084.22415,130,-1,-1349.6395000000484,565371.7371250006
2018-10-29 10:45:00,10076.05,10086.126049999999,130,-1,-1349.8864999999569,564021.8506250007
2018-10-29 11:20:00,10076.7,10086.7767,130,-1,-1349.9709999999504,562671.8796250008
2018-10-29 14:45:00,10145.75,10201.551625,130,1,7214.211250000008,569886.0908750008
2018-10-29 15:20:00,10206.9,10263.03795,130,1,7257.933500000036,577144.0243750009
2018-10-30 09:30:00,10246.7,10236.453300000001,130,1,-1372.07099999996,575771.9533750009
2018-10-30 11:30:00,10239.95,10229.710050000002,130,1,-1371.1934999998994,574400.7598750009
2018-10-30 12:05:00,10251.25,10240.99875,130,1,-1372.6624999999149,573028.0973750011
2018-10-30 13:25:00,10239.9,10229.6601,130,1,-1371.1870000000636,571656.910375001
2018-10-30 14:10:00,10240.65,10230.40935,130,1,-1371.2844999999652,570285.6258750011
